name	url	our_price	list_price	ingredients	%_protein_min	%_fat_min	%_fiber_max	%_moisture_max	item_number	weight	lifestage	food_form	special_diet	packaging_type	food_texture	brand	breed_size	dimensions	small_pet_type	%_misc_components	kcal_per_kg	kcal_per_lb	kcal_per_oz	kcal_per_cup	kcal_per_item	item_volume_for_kcal	total_mass_lb	item_oz	item_count	moisture_warning	conversion_warning
Blue Buffalo Basics Limited Ingredient Grain-Free Indoor Duck & Potato Entree Adult Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/blue-buffalo-basics-limited/dp/36885	29.51		Duck, Duck Broth, Potatoes, Pea Flour, Carrots, Natural Flavor, Flaxseed (source of Omega 3 and 6 Fatty Acids), Fish Oil, Pumpkin, Cranberries, Blueberries, Powdered Cellulose, Guar Gum, Taurine, Cassia Gum, Carrageenan, Potassium Chloride, Salt, Choline Chloride, Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Niacin Supplement (Vitamin B3), Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement (Vitamin B2), Vitamin A  Supplement, Biotin (Vitamin B7), Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), preserved with Mixed Tocopherols.	7.5	6.0	1.5	78.0	51736.0		adult	wet food	sensitive digestion indoor no corn no wheat no soy limited ingredient diet grain-free	can	pate	blue basics				0.10200000000000001	1167.0				99.0			3.0	24.0		
Meow Mix Simple Servings with Real Chicken & Turkey in Gravy Cat Food Trays, 1.3-oz, case of 24	https://www.chewy.com/meow-mix-simple-servings-real-chicken/dp/152340	9.91		Chicken Broth, Chicken, Mackerel, Turkey, Carrots, Vegetable Oil, Peas, Modified Food Starch, Tricalcium Phosphate, Natural Flavor, Salt, Guar Gum, Potassium Chloride, Calcium Sulfate, Minerals (Ferrous Sulfate, Zinc Oxide, Manganese Sulfate, Copper Amino Acid Complex, Potassium Iodide, Sodium Selenite), Choline Chloride, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Vitamin a Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Parsley, Taurine, Carrageenan, Magnesium Sulfate, Rosemary Extract.	11.0	2.5	1.5	82.0	125223.0	1.95	adult	wet food		tray	chunks in gravy					3.04	875.0			32.0				1.3	24.0		
Crave with Protein from Chicken Adult Grain-Free Dry Cat Food, 4-lb bag	https://www.chewy.com/crave-protein-from-chicken-adult/dp/153778	12.97	13.99	Chicken, Chicken Meal, Pea Protein, Split Peas, Chicken Fat (preserved with Mixed Tocopherols),  Tapioca, Fish Meal, Dried Plain Beet Pulp, Potato Protein, Dehydrated Alfalfa Meal, Natural Flavor,  Potassium Chloride, Choline Chloride, DL-Methionine, Salt, Mixed Tocopherols and Citric Acid (preservatives), Taurine, Zinc Sulfate, Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Iron Amino Acid Chelate, Yucca Schidigera Extract, Vitamin B12 Supplement, Copper Amino Acid Chelate, Niacin Supplement, Manganese Amino Acid Chelate, Biotin, Riboflavin Supplement (Vitamin B2), D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Vitamin A Supplement, Pyridoxine Hydrochloride (Vitamin B6), Sodium Selenite, Vitamin D3 Supplement, Potassium Iodide, Folic Acid, Rosemary Extract.	40.0	18.0	4.0	10.0	126678.0	4.0	adult	dry food	grain-free high-protein no corn no wheat no soy							0.16	3788.0			402.0			4.0		1.0		
Royal Canin Spayed/Neutered Thin Slices in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/royal-canin-spayedneutered-thin/dp/39453	34.34		Water Sufficient For Processing, Chicken By-Products, Chicken Liver, Pork By-Products, Pork Liver, Wheat Flour, Salmon, Gelatin, Powdered Cellulose, Pork Plasma, Natural Flavors, Wheat Gluten, Modified Corn Starch, Vegetable Oil, Guar Gum, Calcium Sulfate, Potassium Chloride, Sodium Tripolyphosphate, Taurine, Fish Oil, Salt, Carrageenan, Sodium Silico Aluminate, Magnesium Oxide, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], L-Carnitine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement].	8.5	1.8	2.2	83.0	54338.0	4.5	adult	wet food	weight control pea-free	can	chunks in gravy	royal canin size health nutrition				0.0	692.0				59.0			3.0	24.0		
Royal Canin Veterinary Diet Satiety Support Weight Management Loaf in Sauce Canned Cat Food, 5.8-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-satiety/dp/171809	49.92	49.99	Water Sufficient For Processing, Pork By-Products, Pork Liver, Chicken Liver, Chicken By-Products, Brewers Rice Flour, Powdered Cellulose, Calcium Carbonate, Guar Gum, Salt, Carob Bean Gum, Carrageenan, Sodium Tripolyphosphate, Natural Flavors, Taurine, Calcium Sulfate, Potassium Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Thiamine Mononitrate (Vitamin B1), Niacin Supplement, Biotin, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Citric Acid, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], L-Carnitine, Marigold Extract (Tagetes Erecta L.), Glucosamine Hydrochloride, Chondroitin Sulfate.	6.0	1.3	2.0	86.0	144953.0	8.7	adult	wet food	weight control pea-free veterinary diet	can	pate	royal canin				0.0043	567.0				94.0			5.8	24.0		
Blue Buffalo Basics Limited Ingredient Grain-Free Formula Turkey & Potato Recipe Indoor Adult Dry Cat Food, 11-lb bag	https://www.chewy.com/blue-buffalo-basics-limited/dp/36876	34.98		Deboned Turkey, Turkey Meal, Pea Protein, Peas, Tapioca Starch, Pea Starch, Potatoes, Canola Oil, Pea Fiber, Flaxseed (source of Omega 6 Fatty Acids), Natural Flavor, Fish Oil (source of Omega 3 Fatty Acids), Choline Chloride, DL-Methionine, Calcium Sulfate, Potassium Chloride, Dicalcium Phosphate, Taurine, Pumpkin, Dried Chicory Root, Salt, L-Lysine, Alfalfa Nutrient Concentrate, Calcium Carbonate, Calcium Chloride, Vitamin E Supplement, preserved with Mixed Tocopherols, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Vegetable Juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Calcium Iodate, Sodium Selenite, Oil of Rosemary.	30.0	14.0	6.0	9.0	51727.0	11.0	adult	dry food	sensitive digestion indoor grain-free no corn no wheat no soy limited ingredient diet			blue basics				0.29000000000000004	3605.0			403.0			11.0		1.0		
Instinct Limited Ingredient Diet Grain-Free Recipe with Real Rabbit Freeze-Dried Raw Coated Dry Cat Food, 10-lb bag	https://www.chewy.com/instinct-limited-ingredient-diet/dp/146315	37.99		Rabbit Meal, Peas, Tapioca, Canola Oil (preserved with Mixed Tocopherols and Citric Acid), Rabbit, Natural Flavor, Coconut Oil, Montmorillonite Clay, Taurine, Choline Chloride, Potassium Chloride, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate, Niacin Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Vitamin A Supplement, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Biotin), DL-Methionine, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Ethylenediamine Dihydriodide), Freeze Dried Rabbit, Salt, Pumpkinseeds, Rosemary Extract.	35.0	19.0	5.5	9.0	119125.0		adult	dry food	sensitive digestion limited ingredient diet grain-free no corn no wheat no soy gluten free			nature's variety				0.0085	3890.0			457.0			10.0		1.0		
Purina Pro Plan Adult Salmon & Rice Formula Dry Cat Food, 16-lb bag	https://www.chewy.com/purina-pro-plan-adult-salmon-rice/dp/52868	36.98		New: Salmon, Rice, Corn Gluten Meal, Poultry By-Product Meal, Wheat Flour, Dried Egg Product, Beef Fat Preserved With Mixed-tocopherols, Soy Protein Concentrate, Fish Meal, Natural Flavor, Chicory Root Inulin, Calcium Carbonate, Phosphoric Acid, Potassium Chloride, Salt, Caramel Color, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Choline Chloride, Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], L-lysine Monohydrochloride, Dried Bacillus Coagulans Fermentation Product. U463019.	36.0	16.0	2.0	12.0	67936.0	16.0	adult	dry food	high-protein pea-free			purina				3.0499999999999994	4225.0			561.0			16.0		1.0		
Hill's Prescription Diet s/d Urinary Care Chicken Flavor Dry Cat Food, 4-lb bag	https://www.chewy.com/hills-prescription-diet-sd-urinary/dp/54748	26.99		Brewers Rice, Chicken By-Product Meal, Pork Fat, Corn Gluten Meal, Dried Egg Product, Calcium Sulfate, Lactic Acid, Chicken Liver Flavor, Potassium Chloride, Choline Chloride, DL-Methionine, Iodized Salt, vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Vitamin A Supplement, Folic Acid, Vitamin D3 Supplement), Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Mixed Tocopherols for freshness, Beta-Carotene, Natural Flavors.	30.0	23.0	1.0	11.0	69830.0	4.0	adult	dry food	pea-free veterinary diet			hill's				2.38				523.0			4.0		1.0	% moisture max estimated	kcal/product required a conversion between mass and volume
Purina Pro Plan Savor Adult Beef & Cheese Entree in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/purina-pro-plan-savor-adult-beef/dp/52870	23.28		Water Sufficient for Processing, Beef, Liver, Wheat Gluten, Meat By-Products, Vegetable Starch-Modified, Cheese, Artificial and Natural Flavors, Salt, Sodium Caseinate, Vegetable Oil, Added Color, Soy Protein Concentrate, Tricalcium Phosphate, Corn Starch, Minerals [Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Dried Whey, Taurine, Choline Chloride, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Sorbic Acid (a Preservative). D-4692.	10.0	2.0	1.5	80.0	67938.0		adult	wet food		can	chunks in gravy	purina				2.8499999999999996	861.0				73.0			3.0	24.0		
Purina Pro Plan Veterinary Diets OM Overweight Management Formula Dry Cat Food, 16-lb bag	https://www.chewy.com/purina-pro-plan-veterinary-diets-om/dp/49847	69.99		Corn Gluten Meal, Wheat Gluten, Soybean Meal, Poultry By-Product Meal, Oat Fiber, Soy Protein Isolate, Brewers Rice, Fish Meal, Powdered Cellulose, Animal Fat Preserved with Mixed-Tocopherols (Form of Vitamin E), Phosphoric Acid, Animal Liver Flavor, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, L-Lysine Monohydrochloride, Vitamin E Supplement, Taurine, Zinc Sulfate, Ferrous Sulfate, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Manganese Sulfate, Niacin, Vitamin A Supplement, Calcium Pantothenate, Thiamine Mononitrate, Copper Sulfate, Riboflavin Supplement, Vitamin B-12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D-3 Supplement, Calcium Iodate, Biotin, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Sodium Selenite.	50.0	10.0	8.0	11.0	64887.0	16.0	adult	dry food	high-protein weight control pea-free veterinary diet			purina				9.25	3240.0			321.0			16.0		1.0		
Royal Canin Maine Coon Dry Cat Food, 6-lb bag	https://www.chewy.com/royal-canin-maine-coon-dry-cat-food/dp/53319	29.69		Chicken By-Product Meal, Brewers Rice, Chicken Fat, Corn, Corn Gluten Meal, Wheat Gluten, Brown Rice, Natural Flavors, Pea Fiber, Rice Hulls, Dried Plain Beet Pulp, Fish Oil, Vegetable Oil, Grain Distillers Dried Yeast, Sodium Silico Aluminate, Calcium Sulfate, Potassium Chloride, L-Lysine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Inositol, Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Sodium Pyrophosphate, Fructooligosaccharides, Dl-Methionine, Salt, Choline Chloride, Taurine, Psyllium Seed Husk, Hydrolyzed Yeast, Trace Minerals [Zinc Oxide, Zinc Proteinate, Ferrous Sulfate, Manganous Oxide, Manganese Proteinate, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Glucosamine Hydrochloride, Marigold Extract (Tagetes Erecta L.), Green Tea Extract, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.	29.0	18.0	7.0	8.0	68393.0	6.0	adult	dry food	n/a			royal canin breed health nutrition				0.4570000000000001	3849.0			362.0			6.0		1.0		
Natural Balance L.I.D. Limited Ingredient Diets Duck & Green Pea Formula Grain-Free Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/natural-balance-lid-limited/dp/114103	38.16	45.36	Duck, Duck Broth, Duck Liver, Pea Protein, Ground Peas, Natural Flavor, Salmon Oil (Preserved with Mixed Tocopherols), Duck Meal, Dicalcium Phosphate,  Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin, Vitamin A Supplement, Pyridoxine Hydrochloride, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Biotin), Guar Gum, Minerals (Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Calcium Iodate, Sodium Selenite), Potassium Chloride, Salt, Taurine, Cranberries, Choline Chloride, Carrageenan, Flaxseed Meal, Yucca Schidigera Extract, Rosemary Extract.	9.0	7.0	2.0	78.0	86326.0		adult	wet food	sensitive digestion limited ingredient diet grain-free no corn no wheat no soy	can	pate					0.05	1220.0		190.0		190.0			5.5	24.0		
Purina Pro Plan Focus Adult Classic Urinary Tract Health Formula Beef & Chicken Entree Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/purina-pro-plan-focus-adult-classic/dp/121425	23.8		Meat By-products, Water, Chicken By-products, Beef, Chicken, Rice, Tricalcium Phosphate, Guar Gum, Potassium Chloride, Minerals [Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Salt, Carrageenan, Taurine, Added Color, Choline Chloride, Vitamins [Thiamine Mononitrate, Vitamin E Supplement, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement]. B474018.	10.0	7.0	0.5	78.0	93819.0		adult	wet food		can	pate	purina				3.074	1160.0		32.9					3.0	24.0		
Purina Pro Plan Savor Adult Turkey & Rice Entree in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/purina-pro-plan-savor-adult-turkey/dp/52900	24.28		Water Sufficient for Processing, Turkey, Wheat Gluten, Liver, Meat By-Products, Rice, Corn Starch-Modified, Artificial and Natural Flavors, Salt, Calcium Phosphate, Soy Protein Concentrate, Potassium Chloride, Added Color, Taurine, Choline Chloride, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Copper Sulfate, Pyridoxine Hydrochloride, Manganese Sulfate, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement, Potassium Iodide.	11.0	2.0	1.5	80.0	67968.0		adult	wet food		can	chunks in gravy	purina				2.75	831.0				71.0			3.0	24.0		
Blue Buffalo Healthy Gourmet Meaty Morsels Tuna Entree Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/blue-buffalo-healthy-gourmet-meaty/dp/103504	14.22	21.96	Tuna, Fish Broth, Water, Chicken, Chicken Liver, Dried Egg Product, Potato Starch, Natural Flavor, Calcium Carbonate, Fish Oil, Brown Rice, Sodium Phosphate, Salt, Guar Gum, Taurine, Potassium Chloride, Carrots, Sweet Potatoes, Cranberries, Flaxseed, Carrageenan, Choline Chloride, Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Thiamine Mononitrate (Vitamin B1), Vitamin E Supplement, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Niacin Supplement (Vitamin B3), Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement (Vitamin B2), Vitamin A Supplement, Biotin (Vitamin B7), Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), preserved with Mixed Tocopherols.	9.0	2.0	1.5	82.0	75621.0		adult	wet food	no corn no wheat no soy pea-free	can	chunks in gravy	blue life protection				0.1	838.0				71.0			3.0	24.0		
Hill's Science Diet Adult Tender Tuna Dinner Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-science-diet-adult-tender-tuna/dp/37905	37.71	37.99	Water, Tuna, Chicken, Pork Liver, Wheat Flour, Dextrose, Modified Rice Starch, Oat Hulls, Wheat Gluten, Pork Plasma, Soybean Oil, Glycine, Calcium Carbonate, Natural Flavor, Guar Gum, Fish Oil, Choline Chloride, Potassium Chloride, Cysteine, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Ascorbic Acid (Source Of Vitamin C), Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Menadione Sodium Bisulfite Complex (Source Of Vitamin K), Biotin, Vitamin D3 Supplement, Folic Acid), Calcium Chloride, Taurine, Dicalcium Phosphate, Iodized Salt, Dl-Methionine, Minerals (Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Calcium Iodate), Caramel Color, Beta-Carotene.	7.8	2.5	1.5	82.0	52763.0		adult	wet food		can	chunks in gravy	hill's science diet				0.0			162.0		162.0			5.5	24.0		
Weruva Cats in the Kitchen Pumpkin Lickin' Chicken in Pumpkin Soup Grain-Free Cat Food Pouches, 3-oz pouch, case of 12	https://www.chewy.com/weruva-cats-in-kitchen-pumpkin-lickin/dp/176588	16.99	17.99	Chicken Broth, Chicken (Boneless, Skinless Breast), Pumpkin, Tapioca Starch, Sunflower Seed Oil, Calcium Lactate, Tricalcium Phosphate, Xanthan Gum, Choline Chloride, Zinc Sulfate, Taurine, Vitamin E Supplement, Ferrous Sulfate, Nicotinic Acid (Vitamin B3), Thiamine Mononitrate (Vitamin B1), Calcium Pantothenate, Vitamin A Supplement, Manganese Sulfate, Vitamin D3 Supplement, Copper Sulfate, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Folic Acid, Potassium Iodide, Sodium Selenite, Biotin, Vitamin B12 Supplement.	9.0	1.4	0.5	85.0	149771.0	2.6	adult	wet food	grain-free gluten free pea-free non-gmo no corn no wheat no soy natural chicken-free	pouch	chunks in gravy	cats in the kitchen				2.58			60.0		60.0			3.0	12.0		
Wellness CORE Signature Selects Shredded Boneless Chicken & Beef Entree in Sauce Grain-Free Canned Cat Food, 5.3-oz, case of 12	https://www.chewy.com/wellness-core-signature-selects/dp/147102	31.8		Boneless Chicken, Chicken Broth, Water Sufficient for Processing, Tapioca Starch, Potato Starch, Chicken Liver, Eggs, Beef, Natural Flavor, Salt, Sunflower Oil, Tricalcium Phosphate, Taurine, Magnesium Sulfate, Guar Gum, Vitamins [Vitamin E Supplement, Thiamine Hydrochloride, Niacin, Vitamin A Supplement, Pyridoxine Hydrochloride, d-Calcium Pantothenate, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement], Potassium Chloride, Choline Chloride, Minerals [Zinc Amino Acid Chelate, Iron Amino Acid Chelate, Manganese Amino Acid Chelate, Copper Amino Acid Chelate, Potassium Iodide, Sodium Selenite].	8.0	2.0	1.5	85.0	119914.0	3.975	adult	wet food	no corn no wheat no soy grain-free pea-free	can	shredded	wellness core wellpet				3.08	851.0				67.0			5.3	12.0		
Earthborn Holistic Wild Sea Catch Grain-Free Natural Dry Cat & Kitten Food, 14-lb bag	https://www.chewy.com/earthborn-holistic-wild-sea-catch/dp/36429	31.99		Salmon Meal, Pacific Whiting Meal, Peas, Pea Protein, Pea Starch, Canola Oil (preserved with mixed Tocopherols), Dried Eggs, Natural Flavors, Flaxseed, Pea Fiber, Apples, Blueberries, Cranberries, Carrots, Spinach, Potassium Chloride, Choline Chloride, Taurine, L-Lysine, DL-Methionine, Calcium Sulfate, L-Carnitine, Beta-Carotene, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Folic Acid, Biotin, Manganese Sulfate, Copper Sulfate, Calcium Pantothenate, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Zinc Proteinate, Manganese Proteinate, Copper Proteinate, Calcium Iodate, Sodium Selenite, Vitamin B12 Supplement, Yucca Schidigera Extract, Rosemary Extract, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product.	40.0	18.0	3.0	10.0	51273.0	14.0	kitten adult	dry food	high-protein grain-free gluten free							2.56	3800.0			400.0			14.0		1.0		
Hill's Science Diet Adult Hairball Control Light Dry Cat Food, 15.5-lb bag	https://www.chewy.com/hills-science-diet-adult-hairball/dp/34131	44.99	46.99	Chicken, Corn Gluten Meal, Brewers Rice, Wheat Gluten, Powdered Cellulose, Whole Grain Wheat, Chicken Liver Flavor, Dried Beet Pulp, Soybean Oil, Calcium Sulfate, Lactic Acid, Chicken Fat, Potassium Chloride, Dicalcium Phosphate, Choline Chloride, Iodized Salt, Fish Oil, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement), Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), L-Carnitine, Mixed Tocopherols for freshness, Natural Flavors, Green Peas, Apples, Cranberries, Carrots, Broccoli, Beta-Carotene.	32.0	6.0	10.0	10.0	48950.0	15.5	adult	dry food	weight control			hill's science diet				0.0085				279.0			15.5		1.0		kcal/product required a conversion between mass and volume
Merrick Limited Ingredient Diet Grain-Free Real Turkey Pate Recipe Canned Cat Food, 5-oz, case of 24	https://www.chewy.com/merrick-limited-ingredient-diet-grain/dp/115598	34.12	42.96	Deboned Turkey, Turkey Broth, Turkey Liver, Natural Flavor, Pea Protein, Calcium Carbonate, Organic Alfalfa Meal, Sodium Phosphate, Guar Gum, Potassium Chloride, Salt, Flaxseed Oil, Vitamins (Vitamin E Supplement, Vitamin B12 Supplement, D-Calcium Pantothenate, Vitamin A Supplement, Niacin, Vitamin D3 Supplement, Riboflavin Supplement, Pyridoxine Hydrochloride, Folic Acid, Biotin, Thiamine Mononitrate), Choline Chloride, Minerals (Zinc Amino Acid Complex, Iron Amino Acid Complex, Manganese Amino Acid Complex, Copper Amino Acid Complex, Potassium Iodide, Cobalt Glucoheptonate, Sodium Selenite), Taurine, Yucca Schidigera Extract.	9.0	5.0	1.4	78.0	87839.0		adult	wet food	limited ingredient diet grain-free gluten free no corn no wheat no soy	can	pate					3.2	978.0		139.0		139.0			5.0	24.0		
Natural Balance L.I.D. Limited Ingredient Diets Chicken & Green Pea Formula Grain-Free Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/natural-balance-lid-limited/dp/114100	38.16	45.36	Chicken, Chicken Broth, Chicken Liver, Ground Peas, Pea Protein, Chicken Meal, Natural Flavor, Salmon Oil (Preserved with Mixed Tocopherols), Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin, Vitamin A Supplement, Pyridoxine Hydrochloride, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Biotin), Guar Gum, Dicalcium Phosphate, Calcium Carbonate, Minerals (Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Calcium Iodate, Sodium Selenite),  Cranberries, Salt, Potassium Chloride, Taurine, Choline Chloride, Carrageenan, Yucca Schidigera Extract, Magnesium Sulfate, Rosemary Extract.	8.5	6.0	2.0	78.0	86324.0		adult	wet food	sensitive digestion no corn no wheat no soy limited ingredient diet grain-free	can	pate					0.05	1150.0		180.0		180.0			5.5	24.0		
